gisjoin,year,state,county,total_households,total_families,agg_fam_incom,agg_unrel_incom,agg_prop_val,mean_pro_value,mean_fam_incom,mean_hous_incom,mean_hous_incom_2,mean_hous_incom_3,sum_agg_incom
G0101250,1970,Alabama,Tuscaloosa County,32916,26284,228139650,29115550,256455750,7791.2185563251915,8679.79188860143,6930.9651841049945,7815.506136833151,884.5409527281565,257255200
G0101270,1970,Alabama,Walker County,17697,15094,107218050,6070050,88784250,5016.909645702662,7103.355638001855,6058.543820986608,6401.542634344804,342.9988133581963,113288100
G0101290,1970,Alabama,Washington County,4346,3799,24678200,978050,15406500,3544.9838932351586,6495.9726243748355,5678.37091578463,5903.4169351127475,225.0460193281178,25656250
G0101310,1970,Alabama,Wilcox County,4211,3414,19202250,1489650,13592750,3227.9149845642364,5624.560632688928,4560.021372595583,4913.77345048682,353.75207789123726,20691900
G0101330,1970,Alabama,Winston County,5378,4632,33744150,1547250,23074750,4290.582000743771,7285.006476683938,6274.47936035701,6562.179248791373,287.6998884343622,35291400
G0400010,1970,Arizona,Apache County,6832,5953,36623400,4350300,19643750,2875.2561475409834,6152.091382496221,5360.567915690866,5997.321428571428,636.7535128805621,40973700
G0400030,1970,Arizona,Cochise County,17878,14822,136179950,22506150,104079250,5821.638326434724,9187.690595061395,7617.180333370623,8876.054368497595,1258.8740351269716,158686100
G0400050,1970,Arizona,Coconino County,12474,10367,99199050,16765500,94112250,7544.672919672919,9568.732516639337,7952.465127465128,9296.50072150072,1344.035594035594,115964550
G0400070,1970,Arizona,Gila County,8806,7240,62563550,5700600,52095000,5915.852827617534,8641.374309392266,7104.650238473768,7752.004315239609,647.3540767658415,68264150
G0400090,1970,Arizona,Graham County,4325,3581,28770150,2038250,29988750,6933.815028901734,8034.110583635856,6652.0578034682085,7123.329479768786,471.271676300578,30808400
G0400110,1970,Arizona,Greenlee County,3022,2623,27876800,1982300,7780750,2574.7021839841163,10627.830728173847,9224.619457313038,9880.575777630707,655.9563203176704,29859100
G0400130,1970,Arizona,Maricopa County,302633,246232,2772380950,341448100,3349596250,11068.179114637202,11259.222806134052,9160.867948967893,10289.125938017334,1128.2579890494428,3113829050
G0400150,1970,Arizona,Mohave County,8626,7269,71788450,7452750,65180250,7556.254347322049,9875.973311322052,8322.333642476235,9186.320426617203,863.9867841409691,79241200
G0400170,1970,Arizona,Navajo County,11278,9732,74275850,5722800,65387500,5797.792161730803,7632.125976161118,6585.90618904061,7093.336584500798,507.430395460188,79998650
G0400190,1970,Arizona,Pima County,110785,87772,910767300,137100650,1124515000,10150.426501782733,10376.513010983,8221.034436069865,9458.5724601706,1237.5380241007356,1047867950
G0400210,1970,Arizona,Pinal County,18096,15284,133037450,13028750,91130000,5035.919540229885,8704.360769432085,7351.760057471264,8071.739610963749,719.9795534924846,146066200
G0400230,1970,Arizona,Santa Cruz County,3817,3137,29154900,3159850,31632250,8287.201991092481,9293.879502709595,7638.1713387477075,8466.007335603877,827.8359968561698,32314750
G0400250,1970,Arizona,Yavapai County,12999,10000,83908300,11227700,107203000,8247.019001461651,8390.83,6454.981152396338,7318.716824371106,863.7356719747673,95136000
G0400270,1970,Arizona,Yuma County,17586,14561,136976000,19905950,112747750,6411.221994768566,9407.046219353066,7788.923006937336,8920.843284430797,1131.9202774934606,156881950
G0500010,1970,Arkansas,Arkansas County,7500,6074,47202300,4351650,45207250,6027.633333333333,7771.205136648008,6293.64,6873.86,580.22,51553950
G0500030,1970,Arkansas,Ashley County,7535,6366,46249000,3313300,44694750,5931.619110816191,7265.001570845115,6137.889847378899,6577.611147976111,439.72130059721303,49562300
G0500050,1970,Arkansas,Baxter County,5800,4856,30636050,2238850,49525500,8538.879310344828,6308.906507413509,5282.077586206897,5668.086206896552,386.0086206896552,32874900
G0500070,1970,Arkansas,Benton County,16916,14080,105664250,9104500,103976250,6146.621541735635,7504.563210227273,6246.408725467013,6784.62698037361,538.2182549065973,114768750
G0500090,1970,Arkansas,Boone County,6654,5470,41292500,2507400,41784250,6279.568680492936,7548.903107861061,6205.665764953412,6582.491734295161,376.8259693417493,43799900
G0500110,1970,Arkansas,Bradley County,4229,3403,20976950,1582450,17977000,4250.886734452589,6164.252130473112,4960.2624733979665,5334.452589264602,374.19011586663515,22559400
G0500130,1970,Arkansas,Calhoun County,1769,1479,8852100,597350,6787750,3837.054833239118,5985.192697768763,5004.013566986999,5341.690220463539,337.6766534765404,9449450
G0500150,1970,Arkansas,Carroll County,4565,3608,24146100,2066950,20557000,4503.176341730558,6692.378048780488,5289.3975903614455,5742.179627601315,452.78203723986854,26213050
G0500170,1970,Arkansas,Chicot County,5477,4239,24288250,2715650,26009750,4748.904509768121,5729.712196272706,4434.590104071572,4930.418112105167,495.82800803359504,27003900
G0500190,1970,Arkansas,Clark County,6608,5316,38141650,6326600,33610750,5086.372578692494,7174.8777276147475,5772.041464891041,6729.4567191283295,957.4152542372881,44468250
G0500210,1970,Arkansas,Clay County,6511,5339,31457750,2325100,27015250,4149.1706343111655,5892.0678029593555,4831.477499616034,5188.5808631546615,357.1033635386269,33782850
G0500230,1970,Arkansas,Cleburne County,3617,3052,17571800,985800,18348750,5072.919546585568,5757.470511140236,4858.114459496821,5130.6607685927565,272.54630909593584,18557600
G0500250,1970,Arkansas,Cleveland County,2145,1780,9573300,734400,5727250,2670.04662004662,5378.258426966292,4463.076923076923,4805.454545454545,342.3776223776224,10307700
G0500270,1970,Arkansas,Columbia County,8197,6673,49046900,4559850,43710000,5332.438697084299,7350.052450172337,5983.518360375747,6539.80114676101,556.2827863852629,53606750
G0500290,1970,Arkansas,Conway County,5299,4422,30083150,1756400,25586500,4828.552557086243,6803.064224332881,5677.137195697302,6008.59596150217,331.45876580486885,31839550
G0500310,1970,Arkansas,Craighead County,16572,13699,113469700,10616400,107160250,6466.343832971277,8283.064457259654,6847.073376780111,7487.696113927106,640.622737146995,124086100
G0500330,1970,Arkansas,Crawford County,8174,6900,46550050,3156000,41298500,5052.422314656227,6746.384057971014,5694.892341570834,6080.9946170785415,386.10227550770736,49706050
G0500350,1970,Arkansas,Crittenden County,13255,10979,87762250,7134700,75433000,5690.909090909091,7993.646962382731,6621.067521689928,7159.332327423614,538.2648057336854,94896950
G0500370,1970,Arkansas,Cross County,5703,4776,35927200,2547100,25233250,4424.557250569876,7522.4455611390285,6299.701911274768,6746.326494827284,446.62458355251624,38474300
G0500390,1970,Arkansas,Dallas County,3182,2551,18339000,1182750,15203500,4777.969830295412,7188.945511564092,5763.356379635449,6135.056568196103,371.70018856065366,19521750
G0500410,1970,Arkansas,Desha County,5646,4532,31338700,3149450,27335250,4841.524973432519,6914.982347749338,5550.60219624513,6108.421891604676,557.8196953595466,34488150
G0500430,1970,Arkansas,Drew County,4619,3755,25581150,2919350,19953500,4319.8744316951725,6812.556591211718,5538.244208703182,6170.274951288157,632.0307425849751,28500500
G0500450,1970,Arkansas,Faulkner County,9281,7720,59302050,6364150,57234500,6166.846245016701,7681.612694300518,6389.618575584527,7075.336709406314,685.7181338217864,65666200
G0500470,1970,Arkansas,Franklin County,3656,3058,18842300,1356550,15327250,4192.3550328227575,6161.641595814258,5153.801969365427,5524.849562363239,371.0475929978118,20198850
G0500490,1970,Arkansas,Fulton County,2647,2177,10368450,661100,8090750,3056.5734794106534,4762.723932016536,3917.057045712127,4166.81148469966,249.75443898753306,11029550
G0500510,1970,Arkansas,Garland County,20096,14768,107827250,14622450,144631000,7197.0043789808915,7301.411836403034,5365.607583598726,6093.237460191082,727.6298765923567,122449700
G0500530,1970,Arkansas,Grant County,3120,2679,20246900,1132150,16136750,5172.035256410257,7557.633445315416,6489.391025641025,6852.259615384615,362.8685897435897,21379050
G0500550,1970,Arkansas,Greene County,8329,6893,47681700,3870950,39922750,4793.2224756873575,6917.408965617293,5724.780886060752,6189.536559010686,464.75567294993397,51552650
G0500570,1970,Arkansas,Hempstead County,6493,5208,34519100,2947300,28869250,4446.21130448175,6628.091397849463,5316.356075773911,5770.275681503157,453.9196057292469,37466400
G0500590,1970,Arkansas,Hot Spring County,7203,6057,45188350,2572750,41367500,5743.093155629599,7460.516757470695,6273.545744828543,6630.723309732056,357.1775649035124,47761100
G0500610,1970,Arkansas,Howard County,3798,3137,21564700,1577450,16547500,4356.898367561875,6874.306662416321,5677.909426013692,6093.246445497631,415.3370194839389,23142150
G0500630,1970,Arkansas,Independence County,7740,6384,42021150,3518300,40079250,5178.197674418605,6582.2603383458645,5429.089147286822,5883.649870801034,454.5607235142119,45539450
G0500650,1970,Arkansas,Izard County,2620,2174,11420750,846400,9700750,3702.5763358778627,5253.334866605336,4359.064885496183,4682.118320610687,323.0534351145038,12267150
G0500670,1970,Arkansas,Jackson County,6609,5435,36794200,3185300,32590250,4931.192313511878,6769.862005519779,5567.287032834014,6049.251021334544,481.9639885005296,39979500
G0500690,1970,Arkansas,Jefferson County,25714,20612,168351000,17220400,178032000,6923.543594928832,8167.620803415486,6547.056078400871,7216.745741619351,669.6896632184802,185571400
G0500710,1970,Arkansas,Johnson County,4761,3880,23595950,1766100,20317250,4267.433312329343,6081.430412371134,4956.091157319891,5327.042638101239,370.95148078134844,25362050
G0500730,1970,Arkansas,Lafayette County,3180,2552,14745700,1406050,12787000,4021.069182389937,5778.095611285266,4637.012578616353,5079.166666666667,442.15408805031444,16151750
G0500750,1970,Arkansas,Lawrence County,5533,4460,28442900,3228950,23527500,4252.213988794506,6377.331838565023,5140.59280679559,5724.17314296042,583.5803361648292,31671850
G0500770,1970,Arkansas,Lee County,5199,4174,24544750,2133550,18658750,3588.91132910175,5880.390512697652,4721.0521254087325,5131.429120984805,410.3769955760723,26678300
G0500790,1970,Arkansas,Lincoln County,3437,2883,17925000,1251150,11767500,3423.7707302880417,6217.481789802289,5215.304044224615,5579.327902240326,364.02385801571137,19176150
G0500810,1970,Arkansas,Little River County,3469,2866,21131200,1521150,17672500,5094.407610262323,7373.063503140265,6091.438454886134,6529.936581147304,438.49812626117034,22652350
G0500830,1970,Arkansas,Logan County,5596,4564,26999150,2722200,23158750,4138.4471050750535,5915.6770376862405,4824.7230164403145,5311.177626876341,486.45461043602575,29721350
G0500850,1970,Arkansas,Lonoke County,8020,6668,47834550,3183350,39018500,4865.1496259351625,7173.74775044991,5964.407730673317,6361.334164588528,396.926433915212,51017900
G0500870,1970,Arkansas,Madison County,3132,2637,13798300,946900,7787250,2486.3505747126437,5232.574895714827,4405.58748403576,4707.918263090677,302.330779054917,14745200
G0500890,1970,Arkansas,Marion County,2566,2088,10736250,1067900,10390250,4049.2010911925177,5141.882183908046,4184.041309431021,4600.214341387374,416.1730319563523,11804150
G0500910,1970,Arkansas,Miller County,10830,8711,66323600,7265550,65874000,6082.548476454293,7613.775685914361,6124.062788550324,6794.935364727608,670.8725761772853,73589150
G0500930,1970,Arkansas,Mississippi County,18292,15162,104389400,12604600,84700000,4630.439536409359,6884.936024271205,5706.833588453969,6395.910780669145,689.0771922151761,116994000
G0500950,1970,Arkansas,Monroe County,4703,3656,21931800,2269550,19584000,4164.150542207102,5998.8512035010945,4663.36381033383,5145.938762492026,482.5749521581969,24201350
G0500970,1970,Arkansas,Montgomery County,2056,1693,9787150,1270500,6806750,3310.6760700389104,5780.950974601299,4760.286964980544,5378.234435797665,617.9474708171206,11057650
G0500990,1970,Arkansas,Nevada County,3415,2710,15894350,1347250,11717000,3431.03953147877,5865.073800738008,4654.275256222548,5048.78477306003,394.5095168374817,17241600
G0501010,1970,Arkansas,Newton County,1890,1599,7140300,479600,3675000,1944.4444444444443,4465.478424015009,3777.936507936508,4031.6931216931216,253.75661375661375,7619900
G0501030,1970,Arkansas,Ouachita County,9979,8172,58175900,4272650,58621750,5874.5114740956005,7118.930494371023,5829.83264856198,6257.996793265858,428.16414470387815,62448550
G0501050,1970,Arkansas,Perry County,1854,1532,8839900,704650,6176750,3331.5803667745417,5770.169712793734,4768.015102481122,5148.085221143474,380.07011866235166,9544550
G0501070,1970,Arkansas,Phillips County,11497,9129,61919350,5378850,52270000,4546.403409585109,6782.708949501588,5385.696268591807,5853.54440288771,467.84813429590326,67298200
G0501090,1970,Arkansas,Pike County,3012,2459,15746450,1083450,12098000,4016.6002656042497,6403.599023993494,5227.905046480743,5587.6162018592295,359.71115537848607,16829900
G0501110,1970,Arkansas,Poinsett County,8307,6933,46299400,3099900,31030500,3735.464066449982,6678.119140343286,5573.540387624895,5946.707596003371,373.167208378476,49399300
G0501130,1970,Arkansas,Polk County,4673,3776,23102900,1794000,21304500,4559.062700620586,6118.3527542372885,4943.911833939654,5327.8193879734645,383.90755403381127,24896900
G0501150,1970,Arkansas,Pope County,9014,7652,54341800,5299300,55258000,6130.241846017307,7101.646628332462,6028.599955624584,6616.496560905259,587.8966052806745,59641100
G0501170,1970,Arkansas,Prairie County,3280,2732,16517600,1480450,13497750,4115.167682926829,6045.97364568082,5035.8536585365855,5487.210365853659,451.3567073170732,17998050
G0501190,1970,Arkansas,Pulaski County,92013,74373,717555500,85873350,877765250,9539.578646495604,9648.064485767685,7798.414354493387,8731.68845706585,933.2741025724625,803428850
G0501210,1970,Arkansas,Randolph County,4265,3516,21784700,1599000,18554000,4350.293083235639,6195.875995449374,5107.784290738569,5482.696365767878,374.9120750293083,23383700
G0501230,1970,Arkansas,St. Francis County,8543,7085,48659450,3926150,41367750,4842.297787662414,6867.953422724065,5695.826992859651,6155.402083577198,459.5750907175465,52585600
G0501250,1970,Arkansas,Saline County,10869,9391,82128450,3696600,78494000,7221.82353482381,8745.442444894048,7556.210322936793,7896.315208390836,340.1048854540436,85825050
G0501270,1970,Arkansas,Scott County,2778,2354,13384800,656050,9367250,3371.9402447804177,5685.981308411215,4818.142548596113,5054.301655867531,236.1591072714183,14040850
G0501290,1970,Arkansas,Searcy County,2573,2147,11803700,486750,7270500,2825.6898561989897,5497.7643223102,4587.524290711232,4776.7003497862415,189.1760590750097,12290450
G0501310,1970,Arkansas,Sebastian County,26570,21490,188775950,19590250,219857500,8274.651863003388,8784.36249418334,7104.8532179149415,7842.160331200602,737.3071132856605,208366200
G0501330,1970,Arkansas,Sevier County,3793,3069,21833500,2272450,16493500,4348.404956498814,7114.206581948518,5756.261534405484,6355.378328499868,599.1167940943844,24105950
G0501350,1970,Arkansas,Sharp County,2936,2470,12594750,888550,18040000,6144.41416893733,5099.0890688259105,4289.764986376022,4592.404632152588,302.63964577656674,13483300
G0501370,1970,Arkansas,Stone County,2210,1884,9358150,721000,6206000,2808.1447963800906,4967.170912951167,4234.457013574661,4560.701357466063,326.2443438914027,10079150
G0501390,1970,Arkansas,Union County,15145,12126,101293050,8539800,106202250,7012.3638164410695,8353.377041068778,6688.217233410366,7252.086497193794,563.8692637834268,109832850
G0501410,1970,Arkansas,Van Buren County,2857,2399,13151000,738900,9162250,3206.9478473923696,5481.8674447686535,4603.0801540077,4861.708085404271,258.6279313965698,13889900
G0501430,1970,Arkansas,Washington County,24791,19987,162268950,21702450,161396500,6510.285990883788,8118.724671036173,6545.478197733049,7420.894679520794,875.4164817877455,183971400
G0501450,1970,Arkansas,White County,12665,10598,71717300,5829550,63604250,5022.048953809712,6767.059822608039,5662.63718910383,6122.925384919068,460.28819581523885,77546850
G0501470,1970,Arkansas,Woodruff County,3717,2910,16927500,1907450,13887250,3736.1447403820284,5817.01030927835,4554.07586763519,5067.2450901264465,513.1692224912564,18834950
G0501490,1970,Arkansas,Yell County,4725,3969,26504850,1695350,19868750,4205.026455026455,6677.966742252456,5609.492063492064,5968.2962962962965,358.8042328042328,28200200
G0600010,1970,California,Alameda County,365093,266500,3284001350,685910250,4570085250,12517.592092973571,12322.706754221388,8994.972102998414,10873.699577915764,1878.7274749173498,3969911600
G0600030,1970,California,Alpine County,178,117,1292350,186900,1792000,10067.41573033708,11045.726495726496,7260.393258426966,8310.393258426966,1050,1479250
G0600050,1970,California,Amador County,4024,3193,30622500,4429700,38991250,9689.674453280319,9590.510491700596,7609.965208747515,8710.785288270377,1100.820079522863,35052200
G0600070,1970,California,Butte County,34910,26504,243988200,36794100,320222750,9172.808650816385,9205.712345306369,6989.0633056430825,8043.03351475222,1053.9702091091378,280782300
G0600090,1970,California,Calaveras County,4709,3762,36877650,4399800,41969750,8912.667232958165,9802.671451355662,7831.312380547887,8765.650881291145,934.3385007432576,41277450
G0600110,1970,California,Colusa County,4136,3194,35133000,4753650,29647000,7168.036750483559,10999.686912961803,8494.43907156673,9643.77417794971,1149.3351063829787,39886650
G0600130,1970,California,Contra Costa County,172951,146304,2018226250,195464950,3134987750,18126.45055535961,13794.74416283902,11669.352880295575,12799.528190065394,1130.1753097698193,2213691200
G0600150,1970,California,Del Norte County,4707,3838,36574200,4451900,33891250,7200.180582111749,9529.494528400208,7770.172084130019,8715.976205651157,945.8041215211388,41026100
G0600170,1970,California,El Dorado County,15031,11831,125933450,17270550,149813750,9966.984897877719,10644.362268616347,8378.248286873793,9527.243696360854,1148.99540948706,143204000
G0600190,1970,California,Fresno County,126752,101846,1010354000,123992950,1150134750,9073.898242236808,9920.409245331186,7971.108937137086,8949.341627745518,978.2326906084322,1134346950
G0600210,1970,California,Glenn County,5723,4599,42534350,5554100,37490250,6550.8037742442775,9248.608393128941,7432.177179800804,8402.664686353311,970.4875065525074,48088450
G0600230,1970,California,Humboldt County,32383,25386,264810950,34632100,273111500,8433.792421949789,10431.377530922557,8177.468115986783,9246.921224099064,1069.4531081122811,299443050
G0600250,1970,California,Imperial County,21030,17132,165309600,17686450,149930500,7129.362815026153,9649.17114172309,7860.656205420827,8701.666666666666,841.0104612458392,182996050
